Geneid	VM-1	VM-2	VM-3	VM-4
YLR148W	1254.94	872.07	1523.57	1342.03
YLR162W-A	3	1	1	2.67
YLR462W	19.88	24.55	23.64	31.26
RDN37-2	2731.37	2139.15	115790.14	1100.24
YLR095C	2754.53	2342.08	3205.15	3284.65
YLR199C	1572	1261.17	1821	1797
YLR154W-A	11.73	12.29	24.06	19.98
YLR154C	521.16	432	669.17	621.75
YLL064C	118.5	109.15	102.71	158.4
YLR461W	25.58	19.04	21.75	39.43
tL(UAA)L	7	2	4.12	5.14
YLR265C	486.21	387.25	626.34	594.64
YLR428C	5	10	2	14.1
YLR242C	337.25	237	374	328.82
YLR351C	1850.5	1077.33	1984	1656.17
YLR306W	209.5	139	255.42	196.25
YLR130C	1971.57	675.57	1890.58	853.78
YLL028W	3693.83	819.75	3544.75	1196.8
YLR183C	52.33	69	50.33	62
tR(CCG)L	1	2	3	0
YLR042C	454	1712.08	556	2259.8
YLR396C	994	695	1017.92	1042
YLR122C	62.61	44.5	71.83	63
YLR326W	343.1	241	424	416.42
YLR024C	2383.33	1468.53	2528.99	1993.03
YLR442C	727.95	734.14	894.43	1186.93
YLR380W	3032	2468	3060.75	3377.5
YLR061W	6085.5	3097	6593.75	4104.67
YLR386W	982.06	673.62	965.19	1002.97
YLR387C	848.5	657.75	1015	943
YLR422W	3732.25	2581.42	4010.49	3442.42
YLR354C	7734	4634.88	7741.92	6356.72
YLR434C	42.5	41.5	52	78.5
YLL039C	3384.41	5402.99	4033.75	8232.75
YLR149C	462.75	1072.69	550.12	1612.6
YLR208W	3114.17	2048	3132.69	2706
RDN5-6	1.33	1.13	7.08	1.83
YLR115W	2170.54	1171.23	2483.22	1636.58
YLR005W	1198.42	776	1487.5	1138.75
YLR147C	182	106.5	271.75	122
YLR076C	14	4.03	6.61	4.25
YLR162W	2.42	2	3.95	3
YLR451W	2005.21	1029	2148.12	1513.96
YLR212C	981	802	1060.08	1110.5
YLR454W	10403.92	9197	10881.25	12949.77
YLR437C-A	2	2	1	4
YLR064W	3065.5	2087.5	3235.19	2868.58
YLR132C	515.99	558.33	574.83	750.5
YLR182W	1238.44	987.67	1575.28	1436.32
YLR038C	1257.5	669	1443	1050
YLR107W	700.64	819.14	840	1121.2
YLR139C	2545	1510.25	2614.22	1881.28
YLR305C	8286.47	4403.12	8376.04	5756.96
YLR339C	3.06	0	0	0.1
